appid,genres
18300,Casual
18300,Indie
18400,Casual
18400,Strategy
18420,Casual
18420,Strategy
18430,Casual
18430,Strategy
18470,Strategy
18480,Adventure
18500,Indie
18500,Strategy
18600,Indie
18600,Strategy
18700,Action
18700,Indie
18820,Action
18820,Indie
18820,Racing
18820,Sports
19000,Adventure
19020,Casual
19020,RPG
19030,Action
19030,Adventure
19080,Action
19080,Adventure
19080,Casual
19200,Action
19200,Indie
19320,Action
19320,Casual
19320,Indie
19500,Adventure
19500,Indie
19680,Action
19680,Adventure
19800,Action
19810,Action
19830,Action
19900,Action
19980,Action
19980,Adventure
20200,Casual
20200,Indie
20200,Sports
20500,Action
20530,Action
20540,Strategy
20550,Action
20550,Strategy
20700,Action
20700,Indie
20700,Strategy
20710,Action
20710,Indie
20710,Strategy
20820,Action
20820,Indie
20900,Action
20900,RPG
20920,RPG
21000,Action
21000,Adventure
21010,Action
21030,Action
21090,Action
21100,Action
21130,Action
21130,Adventure
21300,Casual
21300,Indie
21500,Racing
21660,Action
21670,Action
21670,Adventure
21680,Action
21690,Action
21690,Adventure
21780,Racing
21800,Strategy
21970,Strategy
21980,Action
22000,Indie
22100,Indie
22100,RPG
22120,Action
22120,Adventure
22120,Indie
22130,Strategy
22140,Adventure
22140,Indie
22180,Action
22180,Adventure
22180,Indie
22200,Action
22200,Indie
22230,Action
22230,Indie
22230,Racing
22230,Strategy
22300,RPG
22310,Action
22320,RPG
22330,RPG
22350,Action
22350,Free To Play
22370,RPG
22380,Action
22380,RPG
22450,Action
22450,Adventure
22500,Indie
22500,Strategy
22600,Strategy
22610,Action
22650,Action
22670,Action
23150,Casual
23150,Indie
23300,Casual
23380,RPG
23400,Simulation
23400,Strategy
23420,Strategy
23450,Simulation
23450,Strategy
23455,Simulation
23455,Strategy
23460,Action
23460,Adventure
23460,Strategy
23490,Simulation
23490,Strategy
23500,Casual
23500,RPG
23530,Action
23600,Indie
23600,RPG
23600,Strategy
23700,Casual
24010,Simulation
24200,Action
24200,Adventure
24200,Free To Play
24200,Massively Multiplayer
24200,RPG
24240,Action
24400,RPG
24400,Strategy
24410,Strategy
24420,Indie
24460,RPG
24460,Strategy
24480,RPG
24480,Strategy
24720,Action
24720,Simulation
24780,Simulation
24780,Strategy
24790,Action
24790,Strategy
24800,Action
24800,Strategy
24810,Action
24810,Strategy
24880,Action
24880,Adventure
25000,Action
25000,Indie
25010,Action
25500,Indie
25500,Simulation
25500,Sports
25600,Indie
25600,RPG
25620,Indie
25620,RPG
25700,Action
25700,Casual
25700,Indie
25800,Strategy
25808,Strategy
25830,Strategy
25850,RPG
25850,Strategy
25890,Strategy
25900,RPG
25900,Strategy
25910,Strategy
25930,Strategy
25980,Simulation
25980,Strategy
25990,Simulation
25990,Strategy
26000,Action
26000,Indie
26300,Action
26300,Indie
26500,Casual
26500,Indie
26800,Casual
26800,Indie
26800,Strategy
26900,Casual
26900,Indie
27000,Adventure
27000,Indie
27020,Indie
27020,Simulation
27050,Adventure
27050,Casual
27050,Indie
27200,Sports
27400,Casual
27400,Indie
27400,RPG
27800,Indie
27810,Indie
27900,Action
27900,Adventure
27920,Action
27920,Indie
27940,Action
27940,Indie
28000,Action
29120,Casual
29120,Indie
29130,Casual
29130,Indie
29160,Adventure
29160,Indie
29180,Casual
29180,Indie
29720,Action
29720,Adventure
29720,Massively Multiplayer
29720,RPG
29800,Action
29800,Adventure
29800,Casual
29800,Indie
29800,RPG
29800,Strategy
29900,Action
31100,Adventure
31100,Casual
31170,Adventure
31170,RPG
31270,Action
31270,Adventure
31270,Casual
31300,Action
31700,Action
31700,Indie
31800,Adventure
31810,Action
31810,Adventure
31810,Casual
31810,RPG
31810,Simulation
31820,Adventure
31830,Adventure
31840,Adventure
31850,Adventure
31860,Adventure
31870,Adventure
31870,Casual
31880,Adventure
31890,Action
31900,Adventure
31910,Adventure
31920,Adventure
31930,Adventure
32000,Casual
32000,Indie
32110,Casual
32120,Casual
32140,Adventure
32140,Casual
32150,Casual
32150,Indie
32150,Strategy
32160,Casual
32160,Sports
32200,Action
32200,Indie
32200,Racing
32200,Sports
32310,Adventure
32330,Action
32330,Adventure
32340,Adventure
32350,Action
32350,Simulation
32360,Adventure
32370,Adventure
32370,RPG
32380,Action
32390,Action
32430,Action
32440,Adventure
