appid,name,type,is_free,price_currency,price_initial,price_final,price_discount_pct,price_initial_fmt,price_final_fmt,release_date,release_date_fmt,recommendations,last_seen_players,appid_amount,refresh_count
7830,Men of War™,game,False,USD,499,499,0,$4.99,$4.99,"May 6, 2009",2009-05-06,3313,31,7830_2,1
7940,Call of Duty® 4: Modern Warfare® (2007),game,False,USD,1999,999,50,$19.99,$9.99,"Nov 12, 2007",2007-11-12,22052,385,7940_2,1
8000,Tomb Raider: Anniversary,game,False,USD,899,98,89,$8.99,$0.98,"Jun 5, 2007",2007-06-05,6626,64,8000_2,1
8140,Tomb Raider: Underworld,game,False,USD,899,98,89,$8.99,$0.98,"Nov 21, 2008",2008-11-21,6149,48,8140_2,1
8190,Just Cause 2,game,False,USD,1499,1499,0,$14.99,$14.99,"Mar 23, 2010",2010-03-23,41014,152,8190_2,1
8500,EVE Online,game,True,,,,,,,"Dec 15, 2010",2010-12-15,7798,5236,8500_2,1
8500,EVE Online,game,True,,,,,,,"Dec 15, 2010",2010-12-15,7798,5236,8500_3,1
8800,Civilization IV: Beyond the Sword,game,False,USD,2999,599,80,$29.99,$5.99,"Jul 24, 2007",2007-07-24,3875,1853,8800_2,1
8800,Civilization IV: Beyond the Sword,game,False,USD,2999,599,80,$29.99,$5.99,"Jul 24, 2007",2007-07-24,3875,1853,8800_3,1
8850,BioShock® 2,game,False,USD,1999,1999,0,$19.99,$19.99,"Feb 9, 2010",2010-02-09,11457,32,8850_2,1
8870,BioShock Infinite,game,False,USD,2999,2999,0,$29.99,$29.99,"Mar 25, 2013",2013-03-25,109593,441,8870_2,1
8930,Sid Meier's Civilization® V,game,False,USD,2999,749,75,$29.99,$7.49,"Sep 21, 2010",2010-09-21,128074,16634,8930_2,1
8930,Sid Meier's Civilization® V,game,False,USD,2999,749,75,$29.99,$7.49,"Sep 21, 2010",2010-09-21,128074,16634,8930_3,1
9010,Return to Castle Wolfenstein,game,False,USD,499,499,0,$4.99,$4.99,"Aug 3, 2007",2007-08-03,7996,73,9010_2,1
9200,RAGE,game,False,USD,999,999,0,$9.99,$9.99,"Oct 3, 2011",2011-10-03,12220,63,9200_2,1
9340,Company of Heroes: Opposing Fronts,game,False,USD,1999,1999,0,$19.99,$19.99,"Sep 24, 2007",2007-09-24,818,30,9340_2,1
9350,Supreme Commander,game,False,USD,1299,1299,0,$12.99,$12.99,"Sep 28, 2011",2011-09-28,2316,87,9350_2,1
9420,Supreme Commander: Forged Alliance,game,False,USD,1299,1299,0,$12.99,$12.99,"Sep 28, 2011",2011-09-28,9899,1051,9420_2,1
9420,Supreme Commander: Forged Alliance,game,False,USD,1299,1299,0,$12.99,$12.99,"Sep 28, 2011",2011-09-28,9899,1051,9420_3,1
9480,Saints Row 2,game,False,USD,999,249,75,$9.99,$2.49,"Jan 7, 2009",2009-01-07,12799,226,9480_2,1
9900,Star Trek Online,game,True,,,,,,,"Jan 31, 2012",2012-01-31,947,1429,9900_2,1
10500,Total War: EMPIRE – Definitive Edition,game,False,USD,1999,1999,0,$19.99,$19.99,"Mar 4, 2009",2009-03-04,21279,2653,10500_2,1
12210,Grand Theft Auto IV: The Complete Edition,game,False,USD,1999,1999,0,$19.99,$19.99,"Mar 24, 2020",2020-03-24,179860,5529,12210_2,1
