appid,categories
3730,Multi-player
3730,Single-player
3800,Family Sharing
3800,Single-player
3800,Steam Trading Cards
3810,Family Sharing
3810,Single-player
3810,Steam Trading Cards
3820,Family Sharing
3820,Single-player
3820,Steam Trading Cards
3830,Family Sharing
3830,Partial Controller Support
3830,Remote Play on Phone
3830,Remote Play on Tablet
3830,Single-player
3830,Steam Achievements
3830,Steam Cloud
3830,Steam Trading Cards
3900,Family Sharing
3900,Includes level editor
3900,Multi-player
3900,Single-player
3910,Family Sharing
3910,Includes level editor
3910,Multi-player
3910,Single-player
3920,Family Sharing
3920,Single-player
3960,Family Sharing
3960,Multi-player
3960,Single-player
3980,Family Sharing
3980,Single-player
3990,Family Sharing
3990,Single-player
4000,Adjustable Difficulty
4000,Captions available
4000,Co-op
4000,Color Alternatives
4000,Cross-Platform Multiplayer
4000,Custom Volume Controls
4000,Family Sharing
4000,Includes Source SDK
4000,Includes level editor
4000,LAN Co-op
4000,LAN PvP
4000,Multi-player
4000,Online Co-op
4000,Online PvP
4000,Playable without Timed Input
4000,PvP
4000,Remote Play on Tablet
4000,Save Anytime
4000,Single-player
4000,Steam Achievements
4000,Steam Cloud
4000,Steam Trading Cards
4000,Steam Workshop
4000,Stereo Sound
4000,Valve Anti-Cheat enabled
4100,Family Sharing
4100,Single-player
4230,Family Sharing
4230,Multi-player
4230,Single-player
4290,Family Sharing
4290,Multi-player
4290,Single-player
4300,Family Sharing
4300,Includes level editor
4300,Partial Controller Support
4300,Single-player
4420,Family Sharing
4420,Single-player
4460,Family Sharing
4460,Single-player
4470,Family Sharing
4470,Multi-player
4470,Single-player
4520,Co-op
4520,Family Sharing
4520,Multi-player
4520,Single-player
4530,Co-op
4530,Family Sharing
4530,Multi-player
4530,Single-player
4560,Family Sharing
4560,Multi-player
4560,Single-player
4560,Steam Cloud
4560,Steam Trading Cards
4560,Steam Workshop
4570,Family Sharing
4570,Multi-player
4570,Single-player
4570,Steam Cloud
4570,Steam Trading Cards
4700,Family Sharing
4700,Multi-player
4700,Single-player
4700,Steam Trading Cards
4770,Family Sharing
4770,Multi-player
4770,Single-player
4800,Family Sharing
4800,Multi-player
4800,Single-player
4850,Family Sharing
4850,Multi-player
4850,Single-player
4870,Family Sharing
4870,Single-player
4880,Family Sharing
4880,Single-player
4890,Family Sharing
4890,Multi-player
4890,Online PvP
4890,PvP
4890,Remote Play Together
4890,Shared/Split Screen PvP
4890,Single-player
4900,Family Sharing
4900,Single-player
4920,Family Sharing
4920,Includes level editor
4920,Multi-player
4920,Online PvP
4920,PvP
4920,Steam Achievements
4920,Steam Cloud
4920,Steam Trading Cards
4920,Steam Workshop
4920,Valve Anti-Cheat enabled
6000,Family Sharing
6000,Multi-player
6000,PvP
6000,Remote Play Together
6000,Shared/Split Screen PvP
6000,Single-player
6000,Steam Cloud
6010,Family Sharing
6010,Single-player
6010,Steam Cloud
6020,Family Sharing
6020,Multi-player
6020,Online PvP
6020,Partial Controller Support
6020,PvP
6020,Remote Play Together
6020,Shared/Split Screen PvP
6020,Single-player
6020,Steam Cloud
6030,Family Sharing
6030,Multi-player
6030,Online PvP
6030,Partial Controller Support
6030,PvP
6030,Remote Play Together
6030,Shared/Split Screen PvP
6030,Single-player
6030,Steam Cloud
6040,Family Sharing
6040,Single-player
6040,Steam Cloud
6060,Family Sharing
6060,Multi-player
6060,Online PvP
6060,PvP
6060,Single-player
6060,Steam Cloud
6080,Co-op
6080,Family Sharing
6080,Multi-player
6080,Partial Controller Support
6080,PvP
6080,Remote Play Together
6080,Shared/Split Screen
6080,Shared/Split Screen Co-op
6080,Shared/Split Screen PvP
6080,Single-player
6080,Steam Cloud
6100,Family Sharing
6100,Single-player
6120,Family Sharing
6120,Full controller support
6120,Multi-player
6120,Remote Play Together
6120,Remote Play on TV
6120,Shared/Split Screen
6120,Single-player
6120,Steam Achievements
6120,Steam Cloud
6200,Family Sharing
6200,Single-player
6210,Family Sharing
6210,Single-player
6220,DualSense Controller Support
6220,DualShock Controller Support
6220,Family Sharing
6220,Full controller support
6220,LAN PvP
6220,Multi-player
6220,PvP
6220,Single-player
6220,Steam Achievements
6220,Steam Cloud
6220,Steam Trading Cards
6220,Steam Workshop
6250,Family Sharing
6250,Multi-player
6250,Single-player
6270,Family Sharing
6270,Multi-player
6270,Single-player
6300,Family Sharing
6300,Single-player
6310,Family Sharing
6310,Single-player
6370,MMO
6370,Multi-player
6370,Single-player
6400,Co-op
6400,Family Sharing
6400,Multi-player
6400,Remote Play Together
6400,Shared/Split Screen
6400,Single-player
6420,Family Sharing
6420,Includes level editor
6420,Multi-player
6420,Single-player
6510,Family Sharing
6510,Multi-player
6510,Partial Controller Support
6510,Single-player
6510,Valve Anti-Cheat enabled
6600,Family Sharing
6600,Single-player
6600,Steam Achievements
6800,Co-op
6800,Family Sharing
6800,Multi-player
6800,Single-player
6810,Co-op
6810,Family Sharing
6810,Multi-player
6810,Single-player
6830,Co-op
6830,Family Sharing
6830,Multi-player
6830,Single-player
6840,Co-op
6840,Family Sharing
6840,Multi-player
6840,Single-player
6850,Family Sharing
6850,Single-player
6850,Steam Cloud
6860,Family Sharing
6860,Single-player
6860,Steam Cloud
6870,Family Sharing
6870,Single-player
6880,#category_playable_at_your_own_pace
6880,Camera Comfort
6880,Custom Volume Controls
6880,Family Sharing
6880,Playable without Timed Input
6880,Single-player
6880,Steam Cloud
6880,Stereo Sound
6880,Subtitle Options
6900,Family Sharing
6900,Single-player
6900,Steam Cloud
6910,DualSense Controller Support
6910,DualShock Controller Support
6910,Family Sharing
6910,Full controller support
6910,Multi-player
6910,Single-player
6920,DualSense Controller Support
6920,DualShock Controller Support
6920,Family Sharing
6920,Full controller support
6920,Single-player
6980,DualSense Controller Support
6980,DualShock Controller Support
6980,Family Sharing
6980,Full controller support
6980,Single-player
7000,Family Sharing
7000,Full controller support
7000,Single-player
7010,Family Sharing
7010,Multi-player
7010,Single-player
7020,Co-op
7020,Family Sharing
7020,Multi-player
7020,Single-player
7110,Family Sharing
7110,Partial Controller Support
7110,Single-player
7200,Family Sharing
7200,Includes level editor
7200,Multi-player
7200,Single-player
7210,Family Sharing
7210,Single-player
7220,Family Sharing
7220,Single-player
7260,Family Sharing
7260,Multi-player
7260,Single-player
7340,Family Sharing
7340,Single-player
7510,Family Sharing
7510,Partial Controller Support
7510,Single-player
7510,Steam Trading Cards
7520,Co-op
7520,Cross-Platform Multiplayer
7520,Family Sharing
7520,Full controller support
7520,In-App Purchases
7520,Multi-player
7520,Online Co-op
7520,Online PvP
7520,PvP
7520,Remote Play on TV
7520,Single-player
7520,Steam Achievements
7520,Steam Cloud
7520,Steam Trading Cards
7530,Family Sharing
7530,Single-player
7530,Steam Cloud
7530,Steam Trading Cards
7600,Family Sharing
7600,Multi-player
7600,Single-player
7610,Family Sharing
7610,Multi-player
7610,Single-player
7620,Family Sharing
7620,Single-player
7650,Family Sharing
7650,Single-player
7660,Family Sharing
7660,Single-player
7670,Family Sharing
7670,Partial Controller Support
7670,Single-player
7730,Family Sharing
7730,Multi-player
7730,Single-player
7760,Family Sharing
7760,Single-player
7770,Family Sharing
7770,Multi-player
7770,Single-player
7800,Co-op
7800,Family Sharing
7800,Multi-player
7800,Partial Controller Support
7800,Remote Play Together
7800,Shared/Split Screen
7800,Shared/Split Screen Co-op
7800,Single-player
7800,Steam Achievements
7800,Steam Cloud
7800,Steam Trading Cards
7830,Co-op
7830,Family Sharing
7830,Includes level editor
7830,LAN Co-op
7830,LAN PvP
7830,Multi-player
7830,PvP
7830,Single-player
7830,Steam Cloud
7840,Family Sharing
7840,Single-player
7840,Steam Cloud
7860,Family Sharing
7860,LAN PvP
7860,Multi-player
7860,Single-player
7860,Steam Cloud
7940,Family Sharing
7940,Multi-player
7940,Single-player
8000,Family Sharing
8000,Full controller support
