appid,categories
33930,Includes level editor
33930,Multi-player
33930,Online Co-op
33930,Online PvP
33930,Partial Controller Support
33930,PvP
33930,Single-player
33950,Family Sharing
33950,Single-player
33980,Family Sharing
33980,Single-player
33980,Stats
33980,Steam Achievements
33980,Steam Cloud
33990,Family Sharing
33990,Single-player
33990,Steam Cloud
34010,Family Sharing
34010,Single-player
34030,Adjustable Difficulty
34030,Camera Comfort
34030,Custom Volume Controls
34030,Family Sharing
34030,Multi-player
34030,Playable without Timed Input
34030,Save Anytime
34030,Single-player
34030,Stats
34030,Steam Achievements
34030,Steam Trading Cards
34030,Stereo Sound
34190,Family Sharing
34190,Full controller support
34190,Multi-player
34190,PvP
34190,Remote Play Together
34190,Remote Play on Phone
34190,Remote Play on TV
34190,Remote Play on Tablet
34190,Shared/Split Screen PvP
34190,Single-player
34410,Family Sharing
34410,Single-player
34410,Steam Cloud
34420,Family Sharing
34420,Includes level editor
34420,Multi-player
34420,Single-player
34420,Steam Cloud
34500,Family Sharing
34500,Single-player
34500,Steam Achievements
34600,Family Sharing
34600,Single-player
34600,Steam Cloud
34630,Family Sharing
34630,Single-player
34640,Family Sharing
34640,Single-player
34800,Family Sharing
34800,Single-player
34810,Family Sharing
34810,Single-player
34820,Family Sharing
34820,Multi-player
34820,Single-player
34830,Family Sharing
34830,Multi-player
34830,Partial Controller Support
34830,Single-player
34830,Steam Achievements
34870,Family Sharing
34870,Full controller support
34870,Multi-player
34870,Single-player
34870,Steam Achievements
34870,Steam Leaderboards
34900,Family Sharing
34900,Single-player
34900,Steam Achievements
34900,Steam Trading Cards
34920,Family Sharing
34920,Partial Controller Support
34920,Single-player
34920,Steam Achievements
34920,Steam Leaderboards
35000,Family Sharing
35000,Single-player
35000,Steam Cloud
35070,Family Sharing
35070,Single-player
35130,Family Sharing
35130,Full controller support
35130,Multi-player
35130,Remote Play Together
35130,Shared/Split Screen
35130,Single-player
35130,Stats
35130,Steam Achievements
35130,Steam Cloud
35130,Steam Leaderboards
35140,Family Sharing
35140,Partial Controller Support
35140,Single-player
35140,Steam Achievements
35140,Steam Cloud
35140,Steam Trading Cards
35300,Family Sharing
35300,Single-player
35310,Family Sharing
35310,Single-player
35320,Family Sharing
35320,Multi-player
35320,Single-player
35320,Steam Achievements
35450,Family Sharing
35450,Includes level editor
35450,Multi-player
35450,Online PvP
35450,PvP
35450,Stats
35450,Steam Achievements
35450,Steam Trading Cards
35450,Steam Workshop
35450,Valve Anti-Cheat enabled
35460,Family Sharing
35460,Partial Controller Support
35460,Single-player
35460,Stats
35460,Steam Achievements
35460,Steam Leaderboards
35480,Family Sharing
35480,Single-player
35480,Stats
35480,Steam Achievements
35480,Steam Leaderboards
35600,Family Sharing
35600,Single-player
35600,Steam Achievements
35700,Co-op
35700,Family Sharing
35700,Full controller support
35700,Includes level editor
35700,Multi-player
35700,Online Co-op
35700,Remote Play Together
35700,Remote Play on Phone
35700,Remote Play on TV
35700,Remote Play on Tablet
35700,Shared/Split Screen
35700,Shared/Split Screen Co-op
35700,Single-player
35700,Steam Achievements
35700,Steam Cloud
35700,Steam Trading Cards
35700,Steam Workshop
35720,Co-op
35720,Cross-Platform Multiplayer
35720,Family Sharing
35720,Full controller support
35720,Includes level editor
35720,Multi-player
35720,Online Co-op
35720,Remote Play Together
35720,Remote Play on Phone
35720,Remote Play on TV
35720,Remote Play on Tablet
35720,Shared/Split Screen
35720,Shared/Split Screen Co-op
35720,Single-player
35720,Steam Achievements
35720,Steam Cloud
35720,Steam Trading Cards
35720,Steam Workshop
35800,Family Sharing
35800,Partial Controller Support
35800,Single-player
36000,Family Sharing
36000,Partial Controller Support
36000,Single-player
36000,Steam Achievements
36000,Steam Cloud
36130,Family Sharing
36130,Single-player
36150,Family Sharing
36900,Co-op
36900,Family Sharing
36900,LAN Co-op
36900,Multi-player
36900,Online Co-op
36900,Partial Controller Support
36900,Single-player
36910,Co-op
36910,Family Sharing
36910,Multi-player
36910,Partial Controller Support
36910,Single-player
37000,Family Sharing
37000,Single-player
37000,Steam Trading Cards
37210,Family Sharing
37210,Single-player
37220,Family Sharing
37220,Single-player
37230,Family Sharing
37230,Single-player
37240,Family Sharing
37240,Single-player
37260,Family Sharing
37260,Single-player
37280,Family Sharing
37280,Single-player
37290,Family Sharing
37290,Single-player
37300,Family Sharing
37300,Single-player
37310,Family Sharing
37310,Single-player
37320,Family Sharing
37320,Single-player
37330,Family Sharing
37330,Single-player
37340,Family Sharing
37340,Single-player
37360,Family Sharing
37360,Single-player
37370,Family Sharing
37370,Single-player
37380,Family Sharing
37380,Single-player
37390,Family Sharing
37390,Single-player
37400,Family Sharing
37400,Single-player
37500,Co-op
37500,Family Sharing
37500,Multi-player
37500,Single-player
37500,Steam Achievements
37500,Steam Leaderboards
37600,Family Sharing
37600,Single-player
37800,Family Sharing
37800,Single-player
37800,Stats
37800,Steam Achievements
37800,Steam Cloud
37800,Steam Leaderboards
37960,Family Sharing
37960,Single-player
38000,Family Sharing
38000,Single-player
38070,Family Sharing
38070,Single-player
38080,Family Sharing
38080,Single-player
38090,Family Sharing
38090,Single-player
38100,Family Sharing
38100,Single-player
38110,Family Sharing
38110,Single-player
38120,Family Sharing
38120,Single-player
38130,Family Sharing
38130,Single-player
38140,Family Sharing
38140,Single-player
38150,Family Sharing
38150,Single-player
38160,Family Sharing
38160,Single-player
38170,Family Sharing
38170,Single-player
38180,Family Sharing
38180,Single-player
38190,Family Sharing
38190,Single-player
38210,Family Sharing
38210,Multi-player
38210,Single-player
38230,Family Sharing
38230,Single-player
38230,Stats
38230,Steam Achievements
38230,Steam Cloud
38400,Family Sharing
38400,Single-player
38400,Steam Cloud
38410,Family Sharing
38410,Single-player
38410,Steam Cloud
38420,Family Sharing
38420,Multi-player
38420,Single-player
38420,Steam Cloud
38430,Family Sharing
38430,Multi-player
38430,Single-player
