appid,publishers
33230,Ubisoft
33320,Ubisoft
33390,Ubisoft
33460,Ubisoft
33520,Kalypso Media Digital
33550,Kalypso Media Digital
33570,Kalypso Media Digital
33580,Assemble Entertainment
33600,Revolution Software Ltd
33610,Revolution Software Ltd
33620,Kalypso Media Digital
33650,Puzzler
33660,Kalypso Media Digital
33670,Kalypso Media Digital
33680,Zaratustra Productions
33700,Cosmi Valusoft
33710,Cosmi Valusoft
33720,Cosmi Valusoft
33730,Cosmi Valusoft
33750,Cosmi Valusoft
33760,Cosmi Valusoft
33770,Cosmi/ValuSoft
33790,Ziggurat
33900,Bohemia Interactive
33930,Bohemia Interactive
33950,Bohemia Interactive
33980,Bohemia Interactive
33990,Bohemia Interactive
34010,SEGA
34030,Feral Interactive (Mac)
34030,SEGA
34190,SEGA
34410,Fulqrum Publishing
34420,Fulqrum Publishing
34500,SaintXi
34600,Square Enix
34630,Matrix Games/GMX Media
34640,Wargaming.net
34800,City Interactive S.A.
34810,CI Games
34820,CI Games
34830,CI Games
34870,CI Games
34900,Strategy First
34920,Strategy First
35000,Square Enix
35070,Square Enix
35130,Crystal Dynamics
35140,WB Games
35300,Game Factory Interactive
35310,Game Factory Interactive
35320,Game Factory Interactive
35450,Tripwire Interactive
35460,Tripwire Interactive
35480,Tripwire Interactive
35600,Frima
35600,Éditions RSG
35700,Frozenbyte
35720,Frozenbyte
35800,Digital Eel
36000,Sakari Games
36900,3000AD
36910,3000AD
37000,Ice-Pick Lodge
37210,PlayFirst
37220,PlayFirst
37260,Electronic Arts
37400,Size Five Games
37600,Vectorpark
37960,Next Game
38000,Next Game
38070,Next Game
38080,Next Game
38090,Next Game
38100,Next Game
38110,Next Game
38120,Next Game
38130,Next Game
38140,Next Game
38150,Next Game
38160,Next Game
38170,Next Game
38180,Next Game
38190,Next Game
38230,Toplitz Productions
38400,Bethesda Softworks
38410,Bethesda Softworks
38420,Bethesda Softworks
38430,Interplay Inc.
